level4,level3,level2
1213,1213,121
1220,1220,122
1228,1228,122
1229,1229,122
1231,1231,123
1251,1251,125
1254,1254,125
1269,1269,126
1272,1272,127
1273,1273,127
1280,1280,128
129,129,129
1300,1300,130
1307,1307,130
1308,1308,130
1309,1309,130
13100,1310,131
13101,1310,131
13109,1310,131
1318,1318,131
1319,1319,131
1320,1320,132
1321,1321,132
1323,1323,132
1329,1329,132
1330,1330,133
1338,1338,133
1340,1340,134
1342,1342,134
1348,1348,134
1349,1349,134
135,135,135
1361,1361,136
13621,1362,136
1363,1363,136
1368,1368,136
1369,1369,136
1370,1370,137
1373,1373,137
138,138,138
1390,1390,139
1398,1398,139
1400,1400,140
1401,1401,140
1404,1404,140
1409,1409,140
1410,1410,141
1411,1411,141
1412,1412,141
1414,1414,141
1418,1418,141
1419,1419,141
1420,1420,142
1421,1421,142
1429,1429,142
1430,1430,143
1431,1431,143
1440,1440,144
1441,1441,144
1449,1449,144
1450,1450,145
1451,1451,145
1452,1452,145
1453,1453,145
1455,1455,145
1458,1458,145
1459,1459,145
1460,1460,146
1461,1461,146
1463,1463,146
1468,1468,146
1469,1469,146
1471,1471,147
1478,1478,147
1479,1479,147
1481,1481,148
1483,1483,148
1488,1488,148
1489,1489,148
1490,1490,149
1498,1498,149
1500,1500,150
1501,1501,150
1502,1502,150
1503,1503,150
1504,1504,150
1505,1505,150
1508,1508,150
1509,1509,150
1510,1510,151
1511,1511,151
1512,1512,151
1513,1513,151
1514,1514,151
1515,1515,151
1516,1516,151
1518,1518,151
1519,1519,151
1520,1520,152
1521,1521,152
1522,1522,152
1528,1528,152
1529,1529,152
1530,1530,153
1531,1531,153
1532,1532,153
1533,1533,153
1534,1534,153
1535,1535,153
1536,1536,153
1537,1537,153
1538,1538,153
1539,1539,153
1540,1540,154
1541,1541,154
1542,1542,154
1543,1543,154
1548,1548,154
1550,1550,155
1551,1551,155
1552,1552,155
1560,1560,156
1561,1561,156
1562,1562,156
1568,1568,156
1569,1569,156
1570,1570,157
1571,1571,157
1572,1572,157
1573,1573,157
1574,1574,157
1578,1578,157
1579,1579,157
1580,1580,158
1588,1588,158
1589,1589,158
1591,1591,159
1598,1598,159
1599,1599,159
1600,1600,160
1602,1602,160
1603,1603,160
1608,1608,160
1609,1609,160
1610,1610,161
1611,1611,161
1612,1612,161
1618,1618,161
1619,1619,161
1620,1620,162
1622,1622,162
1623,1623,162
1624,1624,162
1625,1625,162
1628,1628,162
1629,1629,162
1630,1630,163
1631,1631,163
1638,1638,163
1639,1639,163
1640,1640,164
1641,1641,164
1642,1642,164
1643,1643,164
1648,1648,164
1649,1649,164
1700,1700,170
1701,1701,170
1702,1702,170
1703,1703,170
1704,1704,170
1706,1706,170
1707,1707,170
1708,1708,170
1709,1709,170
1710,1710,171
1712,1712,171
1713,1713,171
1714,1714,171
1715,1715,171
1716,1716,171
1717,1717,171
1718,1718,171
1719,1719,171
1720,1720,172
1721,1721,172
1722,1722,172
1723,1723,172
1724,1724,172
1725,1725,172
1726,1726,172
1727,1727,172
1728,1728,172
1729,1729,172
1730,1730,173
17301,1730,173
1731,1731,173
1732,1732,173
17321,1732,173
17322,1732,173
1733,1733,173
17330,1733,173
17331,1733,173
17332,1733,173
17339,1733,173
1734,1734,173
17340,1734,173
17341,1734,173
17342,1734,173
17349,1734,173
1735,1735,173
17350,1735,173
17351,1735,173
17352,1735,173
17359,1735,173
1736,1736,173
17360,1736,173
17361,1736,173
17362,1736,173
17369,1736,173
1737,1737,173
17370,1737,173
17371,1737,173
17372,1737,173
17379,1737,173
1738,1738,173
17380,1738,173
17381,1738,173
17382,1738,173
1739,1739,173
17391,1739,173
17392,1739,173
17399,1739,173
1740,1740,174
1741,1741,174
1742,1742,174
1743,1743,174
1744,1744,174
1745,1745,174
1746,1746,174
1748,1748,174
1749,1749,174
1750,1750,175
1759,1759,175
1760,1760,176
1761,1761,176
1762,1762,176
1763,1763,176
1764,1764,176
1765,1765,176
1768,1768,176
1769,1769,176
179,179,179
1800,1800,180
1801,1801,180
1808,1808,180
1809,1809,180
181,181,181
1820,1820,182
1821,1821,182
1828,1828,182
1830,1830,183
1832,1832,183
1834,1834,183
1838,1838,183
1839,1839,183
1840,1840,184
1841,1841,184
1844,1844,184
1848,1848,184
1849,1849,184
185,185,185
1869,1869,186
1872,1872,187
1873,1873,187
1874,1874,187
1876,1876,187
1877,1877,187
1878,1878,187
1879,1879,187
1880,1880,188
1881,1881,188
1882,1882,188
1883,1883,188
1884,1884,188
1885,1885,188
1886,1886,188
1887,1887,188
1888,1888,188
1889,1889,188
1890,1890,189
1891,1891,189
1892,1892,189
1893,1893,189
1898,1898,189
1899,1899,189
1900,1900,190
1905,1905,190
1906,1906,190
1908,1908,190
1909,1909,190
1910,1910,191
1911,1911,191
1912,1912,191
1913,1913,191
1914,1914,191
1915,1915,191
1916,1916,191
1917,1917,191
1918,1918,191
1919,1919,191
1920,1920,192
1921,1921,192
1922,1922,192
1923,1923,192
1929,1929,192
193,193,193
1940,1940,194
1941,1941,194
1943,1943,194
1944,1944,194
1945,1945,194
1950,1950,195
1951,1951,195
1952,1952,195
1953,1953,195
1958,1958,195
1960,1960,196
1961,1961,196
1962,1962,196
1963,1963,196
1965,1965,196
1966,1966,196
1968,1968,196
1969,1969,196
1970,1970,197
1971,1971,197
1972,1972,197
1973,1973,197
1974,1974,197
1975,1975,197
1976,1976,197
1977,1977,197
1978,1978,197
1980,1980,198
1981,1981,198
1982,1982,198
1983,1983,198
1984,1984,198
1985,1985,198
1986,1986,198
1987,1987,198
19881,1988,198
19882,1988,198
